Name	Ability	Font	Skill	Weapon	Domains	Alt Domains	Spells	Edicts	Anathema	Alignments	Avatar
Walkena	(Strength|Wisdom)	(harm)	Deception	spear	(Family|Freedom|Sun|Tyranny)	None	1:Burning Hands, 3:Fireball, 4:Wall of Fire	Uphold Mzali's laws, tend to Walkena and obey his instructions, oppose exploitation of the Mwangi Expanse	Consort or trade with non-Mwangi peoples, defy Walkena's orders	LN, LE	None
Ydersius	None	(harm)	Deception	dagger	(Ambition|Indulgence|Might|Zeal)	None	1:Magic Fang, 5:Cloudkill, 6:Purple Worm Sting	Seek to return Ydersius to life, fulfill your passions, conquer your foes with no mercy, achieve glory for serpentkind	Put the needs of others above those of serpentfol, aid the spawn of Azlant	LE, NE, CE	None
Zyphus	(Dexterity|Constitution)	(harm)	Thievery	pick	(Death|Sorrow|Soul|Undeath)	None	1:Ill Omen, 2:Shatter, 6:Phantasmal Calamity	Set pointless traps, spread nihilism, encourage deadly accidents	Spread hope, provide aid to Pharasmins	NE, CE	None
Anubis	(Dexterity|Wisdom)	(harm|heal)	Occultism	flail	(Death|Protection|Soul|Vigil)	None	1:Unseen Servant, 3:Shifting Sand, 5:Wall of Stone	Lay bodies to rest, destroy undead, be impartial in judgment	Desecrate a corpse, rob a tomb, trap a soul	LG, LN, N	None
Bastet	(Intelligence|Charisma)	(heal)	Deception	(claw|tekko-kagi)	(Nature|Passion|Protection|Trickery)	None	1:Pest Form{CAT} 3:Animal Vision, 4:Private Sanctum	Learn secrets, tempt others into revelry, kill harmful snakes and evil spirits, heal diseases	Kill or abuse a house cat, abandon a child, choose to marry	CG, N, CN	None
Bes	(Constitution|Charisma)	(heal)	Performance	mambele	(Earth|Family|Luck|Protection)	None	1:Sleep, 2:Hideous Laughter, 3:Enthrall	Aid childbirths, spread joy and celebration, protect sleeping creatures	Harm or neglect a child, separate families, use magic to corrupt dreams	LG, NG, CG	None
Hathor	(Strength|Charisma)	(heal)	Performance	shortsword	(Family|Passion|Sun|Wealth)	None	1:Charm, 2:Tree Shape, 8:Uncontrollable Dance	Give wealth to new families, aid traders and miners, support musicians, protect and encourage lovers	Discriminate or slight someone based on appearance, intentionally disfigure a creature, refuse food to the starving	NG, CG	None
Horus	(Strength|Charisma)	(heal)	Diplomacy	khopesh	(Air|Moon|Protection|Sun)	None	1:Floating Disk, 3:Wall of Wind, 4:Aerial Form{BIRD}	Protect those you have authority over, maintain harmony in your community	Undermine a rightful ruler, server a usurper	LG, NG, LN, N	None
Isis	(Wisdom|Charisma)	(heal)	Arcana	staff	(Family|Healing|Magic|Passion)	None	1:Soothe, 2:Humanoid Form, 3:Animal Vision, 4:Creation, 5:Control Water, 6:Wall of Force, 7:Magnificent Mansion, 8:Wind Walk, 9:Shapechange	Provide aid to the sick and wounded, use magic to help others, mourn the cherished dead, ritually purify yourself before entering sacred areas	Reveal sacred rites to the uninitiated, betray your children or your lover, discriminate based on social status	LG, NG, CG	None
Ma'at	(Intelligence|Wisdom)	(heal)	Society	starknife	(Knowledge|Protection|Star|Truth)	None	1:Feather Fall, 4:Resilient Sphere, 5:Mind Probe	Defend civilization from dchaos, live an honest and just life, be impartial in judgment and reveal the truth	Deal unfairly with your family or community, destroy the environment, lie	LG, LN, N	None
Osiris	(Constitution|Wisdom)	(heal)	Nature	flail	(Change|Healing|Nature|Soul)	None	1:Soothe, 2:False Life, 6:Tangling Creepers	Ensure the health of crops and vegetation, protect the bodies and souls of the worthy dead, avenge the wrongly murdered	DIsmemmber a creature, desecrate a corpse, show ingratitude for a sincere gift	LG, NG	None
Ra	(Strength|Intelligence)	(heal)	Society	spear	(Fire|Nature|Sun|Time)	None	1:Burning Hands, 2:Flaming Sphere, 3:Threefold Aspect	Bring order to places of chaos, kill evil monsters and fiends, encourage just laws, provide warmth where needed	Avoid personal change, kill a plant or a creature with cold damage, seal a building to completely block sunlight	LG, LN, N	None
Sekhmet	(Strength|Wisdom)	(harm|heal)	Medicine	(claw|battle axe)	(Destruction|Healing|Indulgence|Might)	None	1:True Strike, 4:Wall of Fire, 5:Moon Frenzy	Slaughter your enemies, drink the blood of defeated foes, heal battle injuries	Spare an evil fiend, fail to placate Sekhmet with daily rituals	CG, N, CN, CE	None
Selket	(Dexterity|Wisdom)	(heal)	Medicine	whip	(Healing|Magic|nature|Protection)	None	1:Soothe, 3:Paralyze, 6:Purple Worm Sting	Avenge the wronged, protect the dead and the vulnerable, use poison and suffocation, heal others	Poison someone you didn't intend to, harm a creature as punishment for a different creature's crime, desecrate a corpse	NG, CG, CN	None
Sobek	(Strength|Constitution)	(harm|heal)	Athletics	falchion	(Might|Protection|Water|Wyrmkin)	None	1:Hydraulic Push, 3:Feet to Fins, 4:Dinosaur Form{CROCODILE}	Take what you want, indulge in base desires, feast on luxurious food, kill demons and evil creatures	Cower from fights, despoil the land, kill the innocent	CG, N, CN, CE	None
